Metal,Lattice Parameter(a),Lattice Parameter(c),Electronegativity,Valency,Density,Atomic conc.,Melting Point,Ionisation Energy (1),Ionisation Energy (2),Cohesive Energy,Debye Temp.,Thermal Conductivity,Atomic radii,Electronic heat capacity const.,Bulk Modulii,Compressibility,Conductivity,Resistivity,Natural abundance of isotope,Nuclear magnetic moment
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Li,3.491,22.37,0.98,1,0.542,4.7,453.7,5.39,81.01,1.63,344,0.85,0.68,1.63,0.116,8.62,1.07,9.32,92.57,3.256
Be,2.27,3.59,1.57,2,1.82,12.1,1562,9.32,27.53,3.32,1440,2,0.35,0.17,1.003,0.997,3.08,3.25,100,-1.177
Mg,3.21,5.21,1.31,2,1.74,4.3,922,7.64,22.67,1.51,400,1.56,0.65,1.3,0.354,2.82,2.33,4.3,10.05,0.855
Al,4.05,4.05,1.61,3,2.7,6.02,933.5,5.98,24.8,3.39,428,2.37,0.5,1.35,0.722,1.385,3.65,2.74,100,3.639
In,3.25,4.95,1.78,3,7.29,3.83,429.8,5.78,24.64,2.52,108,0.82,0.81,1.69,0.411,2.43,1.14,8.75,95.84,5.507
Sn,6.49,6.49,1.96,4,5.76,2.91,505.1,7.34,21.97,3.14,200,0.67,0.71,1.78,1.11,0.901,0.91,11,8.68,-1.041
Pb,4.95,4.95,1.87,4,11.34,3.3,600.7,7.41,22.44,2.03,105,0.35,0.84,2.98,0.43,2.33,0.48,21,21.11,0.584
Sc,3.31,5.27,1.36,3,2.99,4.27,1814,6.56,19.45,3.9,360,0.16,0.81,10.7,0.435,2.3,0.21,46.8,100,4.749
Ti,2.95,4.68,1.54,4,4.51,5.66,1946,6.83,20.46,4.85,420,0.22,0.68,3.35,1.051,0.951,0.23,43.1,7.75,0.787
V,3.03,3.03,1.63,5,6.09,7.22,2202,6.74,21.39,5.31,380,0.31,0.54,9.26,1.619,0.618,0.5,19.9,100,5.139
Cr,2.88,2.88,1.66,6,7.19,8.33,2133,6.76,23.25,4.1,630,0.94,0.44,1.4,1.901,0.526,0.78,12.9,9.54,0.474
Mn,9.11,9.11,1.55,7,7.47,8.18,1520,7.43,23.07,2.92,410,0.08,0.39,9.2,1.596,1.68,0.072,139,100,3.461
Fe,2.87,2.87,1.83,7,7.87,8.5,1811,7.9,24.08,4.28,470,0.8,0.55,4.98,1.683,0.594,1.02,9.8,2.245,0.09
Co,2.51,4.07,1.88,5,8.9,8.97,1770,7.86,24.91,4.39,445,1,0.545,4.73,1.914,0.522,1.72,5.8,100,4.639
Ni,3.52,3.52,1.91,4,8.91,9.14,1728,7.63,25.78,4.44,450,0.91,0.69,7.02,1.86,0.538,1.43,7,1.25,0.746
Cu,3.61,3.61,1.9,4,8.93,8.45,1358,7.72,27.93,3.49,343,4.01,0.77,0.695,1.37,0.73,5.88,1.7,69.09,2.221
Zn,2.66,4.95,1.65,2,7.13,6.55,692.7,9.39,27.35,1.35,327,1.16,0.74,0.64,0.598,1.67,1.69,5.92,4.12,0.874
Y,3.65,5.73,1.22,3,4.48,3.02,1801,6.5,18.9,4.37,280,0.17,0.93,10.2,0.366,2.73,0.17,58.8,100,0.137
